"시군구별","용도지역및이용현황별","항목","단위","2008.03 월","2008.04 월","2008.05 월","2008.06 월","2008.07 월","2008.08 월","2008.09 월","2008.10 월","2008.11 월","2008.12 월","2009.01 월","2009.02 월","2009.03 월","2009.04 월","2009.05 월","2009.06 월","2009.07 월","2009.08 월","2009.09 월","2009.10 월",
"성동구","공장용지","지가변동률[%]","%","1.068","1.28","1.495","1.456","2.173","1.618",".815","-.02","-1.763","-4.986","-1.194","-.541","-.123",".259",".258",".288",".234",".787",".39",".266",
"성동구","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","평균","지가변동률[%]","%",".712",".785",".737",".765",".703",".614",".387","-.196","-2.517","-3.521","-1","-.456","-.101",".187",".179",".21",".253",".66",".395",".356",
"광진구","주거지역","지가변동률[%]","%",".713",".787",".742",".766",".705",".615",".385","-.199","-2.507","-3.54","-.997","-.448","-.104",".188",".182",".214",".255",".66",".398",".368",
"광진구","상업지역","지가변동률[%]","%",".698",".75",".663",".778",".676",".651",".479","-.104","-2.633","-3.121","-1.018","-.592","-.018",".211",".167",".166",".261",".663",".425",".179",
"광진구","공업지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","녹지지역","지가변동률[%]","%",".628",".756",".71",".615",".611",".412",".097","-.41","-2.844","-3.845","-1.186","-.446","-.212","0","0","0",".14",".563","0",".211",
"광진구","관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","보전관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","생산관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","계획관리지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","자연환경보전지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","비도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","준도시지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","준농림지역","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","전","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","답","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","주거용(대)","지가변동률[%]","%",".712",".78",".731",".76",".68",".595",".337","-.231","-2.508","-3.522","-.999","-.464","-.079",".219",".196",".229",".269",".646",".364",".339",
"광진구","상업용(대)","지가변동률[%]","%",".718",".802",".737",".769",".731",".63",".434","-.167","-2.541","-3.521","-1.009","-.458","-.132",".15",".156",".182",".24",".697",".418",".373",
"광진구","임야","지가변동률[%]","%",".447",".446",".755",".569",".437",".435",".128","-.306","-2.836","-3.681","-1.119","-.332","0","0","0","0","0","0","0","0",
"광진구","공장용지","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"광진구","기타","지가변동률[%]","%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"동대문구","평균","지가변동률[%]","%",".756",".805",".753",".751",".697",".602",".427","-.301","-2.925","-2.896","-.91","-.515","-.106",".108",".114",".216",".267",".706",".351",".238",
"동대문구","주거지역","지가변동률[%]","%",".764",".806",".747",".75",".701",".63",".43","-.29","-2.885","-2.856","-.919","-.52","-.111",".118",".128",".225",".284",".706",".354",".246",
"동대문구","상업지역","지가변동률[%]","%",".719",".8",".782",".761",".675",".464",".413","-.352","-3.114","-3.083","-.869","-.487","-.086",".063",".051",".173",".184",".704",".34",".202",
